rank,prev_rank,name,league,off,def,spi
542,542,El Paso Locomotive FC,United Soccer League,0.77,1.96,20.59
543,544,Orlando Pirates,South African ABSA Premier League,0.55,1.62,20.39
544,545,Lincoln City,English League One,0.72,1.93,20.11
545,546,Erzgebirge Aue,German 2. Bundesliga,0.81,2.07,20.11
546,547,Alashkert FC,UEFA Europa Conference League,0.55,1.65,19.93
547,548,Dalian Aerbin,Chinese Super League,0.86,2.17,19.9
548,549,Wuhan Zall,Chinese Super League,0.74,1.97,19.86
549,550,SuperSport United,South African ABSA Premier League,0.6,1.76,19.67
550,553,Memphis 901 FC,United Soccer League,0.74,2.01,19.49
551,543,Kristiansund BK,Norwegian Tippeligaen,0.83,2.16,19.4
552,551,Brisbane Roar,Australian A-League,0.73,2.01,19.17
553,554,Charlton Athletic,English League One,0.63,1.84,19.15
554,555,Bristol Rovers,English League Two,0.67,1.93,18.87
555,566,Birmingham Legion FC,United Soccer League,0.69,1.97,18.78
556,556,Black Aces,South African ABSA Premier League,0.48,1.6,18.69
557,557,Guangzhou RF,Chinese Super League,1,2.51,18.63
558,559,US Quevilly,French Ligue 2,0.54,1.73,18.59
559,558,Arizona United,United Soccer League,0.92,2.38,18.45
560,573,Oakland Roots,United Soccer League,0.79,2.17,18.4
561,561,Macarthur FC,Australian A-League,0.85,2.28,18.34
562,562,Shrewsbury Town,English League One,0.54,1.75,18.31
563,560,Sacramento Republic FC,United Soccer League,0.63,1.91,18.2
564,563,Lamia,Greek Super League,0.4,1.5,18.16
565,552,Varbergs BoIS FC,Swedish Allsvenskan,0.63,1.93,18.04
566,564,Stellenbosch FC,South African ABSA Premier League,0.42,1.57,17.67
567,565,Pordenone Calcio,Italy Serie B,0.62,1.94,17.63
568,567,Chongqing Lifan,Chinese Super League,0.65,2,17.48
569,568,Yeni Malatyaspor,Turkish Turkcell Super Lig,0.61,1.95,17.18
570,569,Tianjin Quanujian,Chinese Super League,0.72,2.17,17.13
571,571,Bloem Celtic,South African ABSA Premier League,0.6,1.95,17
572,572,AS Nancy Lorraine,French Ligue 2,0.68,2.12,16.89
573,575,Shenzhen FC,Chinese Super League,0.75,2.25,16.73
574,576,Swindon Town,English League Two,0.68,2.12,16.7
575,578,Rio Grande Valley FC Toros,United Soccer League,0.57,1.94,16.58
576,574,IFK Värnamo,Swedish Allsvenskan,0.54,1.89,16.46
577,577,Cheltenham Town,English League One,0.8,2.37,16.37
578,570,Miami FC,United Soccer League,0.59,2.02,16.02
579,580,Dunkerque,French Ligue 2,0.47,1.82,15.56
580,581,Wellington Phoenix,Australian A-League,0.73,2.37,15.16
581,589,FK Jerv,Norwegian Tippeligaen,0.55,2.03,15.15
582,583,Accrington Stanley,English League One,0.72,2.38,14.79
583,584,Golden Arrows,South African ABSA Premier League,0.46,1.91,14.53
584,585,Burton Albion,English League One,0.54,2.07,14.52
585,579,Orange County SC,United Soccer League,0.56,2.11,14.38
586,582,Helsingborgs IF,Swedish Allsvenskan,0.54,2.07,14.37
587,588,GIF Sundsvall,Swedish Allsvenskan,0.65,2.29,14.36
