Population Size: 500, Tournament Size: 6, Mutation Count: 1, Generations: 10, Best: 0.4424972617743702, Average: 0.3069934282584892, Time: 39.430987, Date: 2022-07-25 01:46:48.982972
Population Size: 10, Tournament Size: 3, Mutation Count: 2, Generations: 10, Best: 0.42771084337349397, Average: 0.33472070098576123, Time: 1.2747475999999978, Date: 2022-07-25 01:46:50.258686
Population Size: 50, Tournament Size: 3, Mutation Count: 2, Generations: 10, Best: 0.43263964950711936, Average: 0.30227820372398695, Time: 4.334226099999995, Date: 2022-07-25 01:46:54.593733
Population Size: 100, Tournament Size: 3, Mutation Count: 2, Generations: 10, Best: 0.43428258488499455, Average: 0.3113417305585981, Time: 8.2796259, Date: 2022-07-25 01:47:02.874467
Population Size: 500, Tournament Size: 3, Mutation Count: 2, Generations: 10, Best: 0.4414019715224535, Average: 0.3096933187294634, Time: 38.86374380000001, Date: 2022-07-25 01:47:41.739090
Population Size: 10, Tournament Size: 6, Mutation Count: 2, Generations: 10, Best: 0.44468784227820374, Average: 0.439539978094195, Time: 1.7275946000000033, Date: 2022-07-25 01:47:43.467656
Population Size: 50, Tournament Size: 6, Mutation Count: 2, Generations: 10, Best: 0.4353778751369113, Average: 0.33486308871851045, Time: 4.793762299999997, Date: 2022-07-25 01:47:48.262495
Population Size: 100, Tournament Size: 6, Mutation Count: 2, Generations: 10, Best: 0.44414019715224534, Average: 0.3144852135815991, Time: 8.711362599999973, Date: 2022-07-25 01:47:56.974742
Population Size: 500, Tournament Size: 6, Mutation Count: 2, Generations: 10, Best: 0.44468784227820374, Average: 0.31371303395399774, Time: 38.99969920000001, Date: 2022-07-25 01:48:35.975277
Population Size: 10, Tournament Size: 3, Mutation Count: 3, Generations: 10, Best: 0.42771084337349397, Average: 0.37579408543263965, Time: 1.244257900000008, Date: 2022-07-25 01:48:37.220235
Population Size: 50, Tournament Size: 3, Mutation Count: 3, Generations: 10, Best: 0.4370208105147864, Average: 0.3425848849945235, Time: 4.34027500000002, Date: 2022-07-25 01:48:41.561728
Population Size: 100, Tournament Size: 3, Mutation Count: 3, Generations: 10, Best: 0.4430449069003286, Average: 0.3098849945235488, Time: 8.259928799999983, Date: 2022-07-25 01:48:49.822619
Population Size: 500, Tournament Size: 3, Mutation Count: 3, Generations: 10, Best: 0.4474260679079956, Average: 0.3076396495071193, Time: 42.05436199999997, Date: 2022-07-25 01:49:31.877524
Population Size: 10, Tournament Size: 6, Mutation Count: 3, Generations: 10, Best: 0.42771084337349397, Average: 0.41703176341730563, Time: 1.9452886999999919, Date: 2022-07-25 01:49:33.823830
Population Size: 50, Tournament Size: 6, Mutation Count: 3, Generations: 10, Best: 0.4348302300109529, Average: 0.3433296823658269, Time: 5.097831100000008, Date: 2022-07-25 01:49:38.922717
Population Size: 100, Tournament Size: 6, Mutation Count: 3, Generations: 10, Best: 0.43921139101861995, Average: 0.32184556407447973, Time: 9.284945100000016, Date: 2022-07-25 01:49:48.208841
Population Size: 500, Tournament Size: 6, Mutation Count: 3, Generations: 10, Best: 0.43921139101861995, Average: 0.30447207009857613, Time: 42.1574827, Date: 2022-07-25 01:50:30.367408
Population Size: 10, Tournament Size: 3, Mutation Count: 1, Generations: 100, Best: 0.44468784227820374, Average: 0.44337349397590364, Time: 12.990488599999992, Date: 2022-07-25 01:50:43.358658
Population Size: 50, Tournament Size: 3, Mutation Count: 1, Generations: 100, Best: 0.4452354874041621, Average: 0.43772179627601315, Time: 41.71757549999995, Date: 2022-07-25 01:51:25.077272
Population Size: 100, Tournament Size: 3, Mutation Count: 1, Generations: 100, Best: 0.43921139101861995, Average: 0.4286035049288062, Time: 77.3907681, Date: 2022-07-25 01:52:42.469249
Population Size: 500, Tournament Size: 3, Mutation Count: 1, Generations: 100, Best: 0.4424972617743702, Average: 0.31626506024096385, Time: 381.8620132, Date: 2022-07-25 01:59:04.332809
Population Size: 10, Tournament Size: 6, Mutation Count: 1, Generations: 100, Best: 0.42771084337349397, Average: 0.42771084337349397, Time: 16.452481000000034, Date: 2022-07-25 01:59:20.786639
